序號,題型,問題,選項/答案,正確答案,解釋
1,選擇題,根據林美卿老師的教學，「生命底氣」最重要的特質是什麼？,A. 擁有豐富財富 | B. 面對挑戰時的內在穩定力 | C. 身體強壯健康 | D. 社交能力優秀,B,生命底氣是面對未知與壓力時的穩定器，是內在能量狀態的總和
2,選擇題,合谷穴的功能口訣是？,A. 腰背問題委中求 | B. 面口合谷收 | C. 肚腹三里留 | D. 筋會陽陵泉,B,合谷穴對應「面口合谷收」，主要調理頭部、面部、口腔相關問題
3,選擇題,建立新生兒底氣資料庫的黃金時期是？,A. 一個月內 | B. 六個月內 | C. 三個月內最重要，十二歲前都有機會 | D. 只有出生當天,C,林老師強調三個月內最重要，十二歲以前都還有機會建立
4,選擇題,足三里穴最適合的使用時機是？,A. 飯後立即 | B. 飯前 | C. 睡前 | D. 運動後,B,建議在每天飯前敲打雙腿足三里各100下，提升消化吸收能力
5,選擇題,孕婦使用合谷穴的注意事項？,A. 隨時可用 | B. 只能輕按 | C. 未滿38週禁用，足月後可助順產 | D. 完全禁用,C,懷孕未滿38週絕對不可按壓，38週後臨盆時按壓則能幫助順產
6,選擇題,委中穴主要處理什麼問題？,A. 消化不良 | B. 腰背問題 | C. 頭痛 | D. 失眠,B,委中穴對應「腰背問題委中求」，是處理腰背問題的關鍵穴位
7,選擇題,廉泉穴的主要應用場合？,A. 日常保健 | B. 緊急自救 | C. 美容養顏 | D. 增強體力,B,廉泉穴是緊急自救穴位，適用於暈車、噁心等突發不適
8,選擇題,陽陵泉穴被稱為什麼？,A. 筋之會 | B. 氣之海 | C. 血之府 | D. 神之門,A,陽陵泉是全身筋之精氣匯聚處，主治一切與筋相關的疾病
9,選擇題,成年人重建底氣的第一步是？,A. 大量運動 | B. 每日兩分鐘靜心 | C. 改變飲食 | D. 社交活動,B,每日靜心清空內在負面訊息，才能裝入更好的宇宙能量
10,選擇題,林老師強調與嬰兒溝通時最重要的原則？,A. 大聲說話 | B. 經常開玩笑 | C. 認真不開玩笑，每句話都被吸收 | D. 只用肢體語言,C,嬰兒靈魂能完全理解，所有對話都應認真，每句話都會被潛意識吸收
11,選擇題,產後護理的核心觀念是？,A. 只需注意骨盆 | B. 全身206塊骨頭都開了 | C. 主要休息即可 | D. 立即恢復活動,B,生產是全身206塊骨頭都鬆開，不僅僅是骨盆，身體極度脆弱
12,選擇題,合谷穴的正確按壓方法？,A. 輕輕撫摸 | B. 垂直向下按壓 | C. 扣進去朝骨縫深處按壓並旋轉 | D. 快速拍打,C,用大拇指扣進去朝著骨頭深處垂直按壓，帶一點旋轉揉動感覺
13,選擇題,足三里穴對不同年齡層的意義，兒童期主要是？,A. 促進生長板發育 | B. 強身健體 | C. 延緩衰老 | D. 增加食慾,A,兒童期足三里主要幫助生長板發育，青壯年養生，老年養老
14,選擇題,胎位不正的穴位組合是？,A. 合谷+足三里 | B. 陽池+至陰 | C. 委中+陽陵泉 | D. 廉泉+合谷,B,陽池穴（三焦經原穴）與至陰穴（膀胱經末穴）組合應用協助胎位轉正
15,選擇題,「我就是禮物」概念的核心意義？,A. 自我膨脹 | B. 認知自己存在的價值 | C. 要求他人重視 | D. 炫耀自己,B,認識到每個生命存在本身就是對地球最珍貴的禮物，建立內在價值感
16,選擇題,療癒性觸摸的關鍵要素？,A. 用力按摩 | B. 快速動作 | C. 心靈觸動與愛的意念 | D. 專業手法,C,帶著愛與肯定的意念觸摸，心靈觸動與經絡疏通同步發生
17,選擇題,林老師女兒胎位轉正發生在按壓穴位後多久？,A. 立即 | B. 隔天 | C. 一週後 | D. 一個月後,B,按壓陽池至陰穴後隔天就感覺胎兒劇烈轉動，後確認胎位已轉正
18,選擇題,經絡學習的終極目標是？,A. 成為醫生 | B. 賺錢謀生 | C. 找回內在力量與自信 | D. 幫助別人,C,學習經絡真正目的是找回源於內心的力量與自信——生命底氣
19,選擇題,新生兒潛意識接收能力的特點？,A. 選擇性接收 | B. 完全不理解 | C. 照單全收 | D. 只接收正面訊息,C,新生兒潛意識如完全開放的接收器，將周遭對話與能量照單全收
20,選擇題,靜心回歸的主要目的？,A. 放空大腦 | B. 清空負面訊息裝入好能量 | C. 增加睡眠 | D. 減少思考,B,清空累積的負面訊息與情緒垃圾，才能裝入更多更好的宇宙能量
21,選擇題,委中穴為什麼能處理整條背部問題？,A. 位置在背部中央 | B. 連接多條經絡 | C. 位於膀胱經上，膀胱經貫穿整個背部 | D. 刺激神經系統,C,委中穴位於膀胱經上，膀胱經是貫穿整個背部的主要經絡
22,選擇題,林老師面對家族癌症史的底氣展現？,A. 定期檢查 | B. 不害怕所以癌細胞見到底氣就消失 | C. 改變生活習慣 | D. 尋求醫療協助,B,雖然是醫學上高危險群但不恐懼，因為不害怕癌細胞見到底氣就消失
23,選擇題,陽陵泉與足三里的配合使用方式？,A. 分別按壓 | B. 輪流使用 | C. 位置相近可一併拍打 | D. 不能同時使用,C,陽陵泉就在足三里附近，可在敲打足三里時將範圍擴大一併拍打
24,選擇題,避免給嬰兒植入負面晶片的方法？,A. 保持安靜 | B. 用充滿愛的語言，避免垃圾話 | C. 減少接觸 | D. 只用音樂,B,用充滿愛與歡迎的語言，絕對避免垃圾話、開玩笑或負面討論
25,選擇題,成年人無名病痛的可能成因？,A. 檢查不夠仔細 | B. 潛意識中植入的負面晶片 | C. 遺傳因素 | D. 環境污染,B,麻醉昏迷等無意識狀態下，負面話語被潛意識照單全收形成負面晶片
26,選擇題,林老師的臉部保養妙招？,A. 使用保養品 | B. 定期按摩 | C. 用魷魚絲鍛鍊臉頰肌肉 | D. 表情練習,C,旅行時帶魷魚絲，刻意用左右牙齒輪流嚼動，鍛鍊臉頰肌肉防止下垂
27,選擇題,身心靈整合健康的核心理念？,A. 只注重身體 | B. 只注重心理 | C. 結合物理層面與心靈層面 | D. 只注重靈性,C,結合物理層面的經絡照護與心靈層面的意識塑造，實現全方位健康
28,選擇題,主動健康管理的含義？,A. 多看醫生 | B. 從被動接受者轉為主動創造者 | C. 多吃補品 | D. 多做運動,B,從健康的被動接受者轉變為生命幸福的主動創造者
29,選擇題,廉泉穴急救的使用方法？,A. 輕輕按壓 | B. 抓捏動作 | C. 快速拍打 | D. 持續按住,B,遇緊急狀況時用手指對廉泉穴進行抓的動作，大概30下左右
30,選擇題,林老師教學的最終願景？,A. 培養專業人士 | B. 每個人都可以當大師 | C. 建立醫療體系 | D. 推廣傳統文化,B,每個人都可以來當大師，成為自己與家庭第一線的健康守護者
31,是非題,合谷穴可以隨時按壓，對任何人都安全。,True/False,False,懷孕未滿38週的孕婦絕對不可按壓合谷穴
32,是非題,足三里穴被稱為長壽穴，適合飯後立即使用。,True/False,False,足三里穴應在飯前使用，每次飯前敲打100下
33,是非題,新生兒的靈魂與成人一樣大，能完全理解周遭對話。,True/False,True,林老師強調嬰兒靈魂與我們一樣大，會照單全收所有訊息
34,是非題,生命底氣只能在童年時期建立，成年後無法改變。,True/False,False,成年人透過覺察練習可以療癒舊傷，重建內在力量
35,是非題,委中穴位於膝蓋後方，主要用拍打方式刺激。,True/False,True,委中穴位於膝蓋後方正中，最直接有效的方法就是拍打
36,是非題,陽陵泉穴是全身筋之精氣匯聚處，主治筋的問題。,True/False,True,陽陵泉是筋之會，主治一切與筋相關的疾病
37,是非題,療癒性觸摸需要專業手法，普通人無法掌握。,True/False,False,關鍵在於心靈觸動與愛的意念，不需要專業手法
38,是非題,產後護理只需注意骨盆恢復即可。,True/False,False,生產是全身206塊骨頭都開了，不僅僅是骨盆
39,是非題,靜心的目的是完全放空大腦，什麼都不想。,True/False,False,靜心是要清空負面訊息，裝入更好的宇宙能量，不是放空
40,是非題,經絡學習的終極目標是掌握技術，成為專業治療師。,True/False,False,真正目的是找回內在力量與自信，建立生命底氣
41,簡答題,請說明「面口合谷收、腰背委中求、肚腹三里留、筋會陽陵泉」這四句口訣的含義和對應穴位功能。,,合谷穴調理頭面口腔問題，委中穴處理腰背疼痛，足三里穴調理消化系統，陽陵泉穴處理全身筋的問題。,
42,簡答題,林老師提到的成年人重建底氣三大方法是什麼？請簡要說明。,,1.每日兩分鐘靜心清空內在負面訊息 2.自我肯定認知我就是禮物的價值 3.療癒性觸摸連結心靈與經絡,
43,簡答題,為什麼新生兒期被稱為建立底氣的黃金時期？具體時間範圍是多久？,,因為新生兒潛意識完全開放會照單全收，是植入正面軟體的最佳時機。三個月內最重要，十二歲前都有機會。,
44,簡答題,胎位不正時可使用哪兩個穴位組合？請說明林老師女兒的案例效果。,,陽池穴與至陰穴組合。林老師女兒31週胎位不正，按壓後隔天胎兒劇烈轉動，後確認胎位已轉正。,
45,簡答題,產後護理的核心觀念是什麼？為什麼特別強調避免風寒濕氣？,,生產是全身206塊骨頭都開了，身體極度脆弱。任何過度勞累或風寒濕氣侵入都可能造成長期健康問題。,
46,簡答題,如何為新生兒創造正向的迎接儀式？應該避免什麼？,,用充滿愛的語言歡迎：小神通我們歡迎你來到世界！避免垃圾話、開玩笑、反話或任何負面討論。,
47,簡答題,廉泉穴的急救應用方法和適用症狀是什麼？,,位於喉結上方凹陷處，用手指抓捏約30下。適用於暈車、噁心、想吐等突發性不適的緊急自救。,
48,簡答題,合谷穴對孕婦的使用有什麼特殊注意事項？不同孕期如何區別對待？,,未滿38週絕對禁用，38週後足月臨盆時按壓可幫助順產。主要是避免早產風險。,
49,簡答題,療癒性觸摸的操作要點和效果原理是什麼？,,從肩膀沿手臂輕柔撫摸到指尖，帶著愛與肯定意念。心靈觸動與經絡疏通同步發生，釋放緊繃壓力。,
50,簡答題,林老師強調的主動健康管理概念包含哪些要素？,,掌握身體開關學會自我調節，從健康被動接受者轉為生命幸福主動創造者，建立處理狀況的從容底氣。,
